Timpstemp, imgid, lat, lon, alt, s_variance_m_s, c_variance_rad, fix_type, eph_m, epv_m, vel_n_m_s, vel_e_m_s, vel_d_m_s, num_sat,,,,
7009129,1,47.3843571,8.5451784,464.91,1.059999943,2.163927794,3,12.99200058,1.75E-43,0.239999995,0.170000002,0.209999993,6,,,, 
7042462,2,47.3843571,8.5451784,464.91,1.059999943,2.163927794,3,12.99200058,1.75E-43,0.239999995,0.170000002,0.209999993,6,,,, 
7075795,3,47.3843571,8.5451784,464.91,1.059999943,2.163927794,3,12.99200058,1.75E-43,0.239999995,0.170000002,0.209999993,6,,,, 
7109128,4,47.3843571,8.5451784,464.91,1.059999943,2.163927794,3,12.99200058,1.75E-43,0.239999995,0.170000002,0.209999993,6,,,, 
7142461,5,47.3843571,8.5451784,464.91,1.059999943,2.163927794,3,12.99200058,1.75E-43,0.239999995,0.170000002,0.209999993,6,,,, 
7175794,6,47.3843571,8.5451784,464.91,1.059999943,2.163927794,3,12.99200058,1.75E-43,0.239999995,0.170000002,0.209999993,6,,,, 
7206967,7,47.3843551,8.5451786,465.164,1.079999924,2.163941383,3,12.54100037,1.75E-43,0.099999994,0.229999989,0.170000002,6,,,, 
7240300,8,47.3843551,8.5451786,465.164,1.079999924,2.163941383,3,12.54100037,1.75E-43,0.099999994,0.229999989,0.170000002,6,,,, 
7273633,9,47.3843551,8.5451786,465.164,1.079999924,2.163941383,3,12.54100037,1.75E-43,0.099999994,0.229999989,0.170000002,6,,,, 
7306966,10,47.3843551,8.5451786,465.164,1.079999924,2.163941383,3,12.54100037,1.75E-43,0.099999994,0.229999989,0.170000002,6,,,, 
7340299,11,47.3843551,8.5451786,465.164,1.079999924,2.163941383,3,12.54100037,1.75E-43,0.099999994,0.229999989,0.170000002,6,,,, 
7373632,12,47.3843551,8.5451786,465.164,1.079999924,2.163941383,3,12.54100037,1.75E-43,0.099999994,0.229999989,0.170000002,6,,,, 
7402809,13,47.3843531,8.5451792,465.478,0.909999967,2.163953066,3,12.24700069,1.75E-43,-0.209999993,0.079999998,0.089999996,6,,,, 
7436142,14,47.3843531,8.5451792,465.478,0.909999967,2.163953066,3,12.24700069,1.75E-43,-0.209999993,0.079999998,0.089999996,6,,,, 
7469475,15,47.3843531,8.5451792,465.478,0.909999967,2.163953066,3,12.24700069,1.75E-43,-0.209999993,0.079999998,0.089999996,6,,,, 
7502808,16,47.3843531,8.5451792,465.478,0.909999967,2.163953066,3,12.24700069,1.75E-43,-0.209999993,0.079999998,0.089999996,6,,,, 
7536141,17,47.3843531,8.5451792,465.478,0.909999967,2.163953066,3,12.24700069,1.75E-43,-0.209999993,0.079999998,0.089999996,6,,,, 
7569474,18,47.3843531,8.5451792,465.478,0.909999967,2.163953066,3,12.24700069,1.75E-43,-0.209999993,0.079999998,0.089999996,6,,,, 
7599573,19,47.384351,8.54518,465.851,1.079999924,2.163966894,3,11.97200012,1.75E-43,0.259999991,0.340000004,0.550000012,6,,,, 
7632906,20,47.384351,8.54518,465.851,1.079999924,2.163966894,3,11.97200012,1.75E-43,0.259999991,0.340000004,0.550000012,6,,,, 
7666239,21,47.384351,8.54518,465.851,1.079999924,2.163966894,3,11.97200012,1.75E-43,0.259999991,0.340000004,0.550000012,6,,,, 
7699572,22,47.384351,8.54518,465.851,1.079999924,2.163966894,3,11.97200012,1.75E-43,0.259999991,0.340000004,0.550000012,6,,,, 
7732905,23,47.384351,8.54518,465.851,1.079999924,2.163966894,3,11.97200012,1.75E-43,0.259999991,0.340000004,0.550000012,6,,,, 
7766238,24,47.384351,8.54518,465.851,1.079999924,2.163966894,3,11.97200012,1.75E-43,0.259999991,0.340000004,0.550000012,6,,,, 
7798438,25,47.3843499,8.5451802,466.247,1.230000019,2.163982391,3,11.72000027,1.75E-43,0.289999992,0.370000005,0.379999995,6,,,, 
7831771,26,47.3843499,8.5451802,466.247,1.230000019,2.163982391,3,11.72000027,1.75E-43,0.289999992,0.370000005,0.379999995,6,,,, 
7865104,27,47.3843499,8.5451802,466.247,1.230000019,2.163982391,3,11.72000027,1.75E-43,0.289999992,0.370000005,0.379999995,6,,,, 
7898437,28,47.3843499,8.5451802,466.247,1.230000019,2.163982391,3,11.72000027,1.75E-43,0.289999992,0.370000005,0.379999995,6,,,, 
7931770,29,47.3843499,8.5451802,466.247,1.230000019,2.163982391,3,11.72000027,1.75E-43,0.289999992,0.370000005,0.379999995,6,,,, 
7965103,30,47.3843499,8.5451802,466.247,1.230000019,2.163982391,3,11.72000027,1.75E-43,0.289999992,0.370000005,0.379999995,6,,,, 
7988182,31,47.3843499,8.5451832,466.324,1.24000001,2.163999319,3,11.48600101,1.75E-43,0.48999998,1.029999971,0.74000001,6,,,, 
8021515,32,47.3843499,8.5451832,466.324,1.24000001,2.163999319,3,11.48600101,1.75E-43,0.48999998,1.029999971,0.74000001,6,,,, 
8054848,33,47.3843499,8.5451832,466.324,1.24000001,2.163999319,3,11.48600101,1.75E-43,0.48999998,1.029999971,0.74000001,6,,,, 
8088181,34,47.3843499,8.5451832,466.324,1.24000001,2.163999319,3,11.48600101,1.75E-43,0.48999998,1.029999971,0.74000001,6,,,, 
8121514,35,47.3843499,8.5451832,466.324,1.24000001,2.163999319,3,11.48600101,1.75E-43,0.48999998,1.029999971,0.74000001,6,,,, 
8154847,36,47.3843499,8.5451832,466.324,1.24000001,2.163999319,3,11.48600101,1.75E-43,0.48999998,1.029999971,0.74000001,6,,,, 
8197070,37,47.3843502,8.5451842,466.501,1.120000005,2.164013624,3,11.28900051,1.53E-43,0.509999991,0.259999991,0.550000012,6,,,, 
8230403,38,47.3843502,8.5451842,466.501,1.120000005,2.164013624,3,11.28900051,1.53E-43,0.509999991,0.259999991,0.550000012,6,,,, 
